month,store_id,total_txns,bnpl_txns,bnpl_adoption_rate
Jan 2023,BR01,174,72,41.37931034482759
Jan 2023,BR02,25,4,16.0
Jan 2023,BR03,32,9,28.125
Jan 2023,BR04,21,7,33.33333333333333
Jan 2023,BR05,43,9,20.930232558139537
Jan 2023,BR06,51,0,0.0
Jan 2023,BR07,29,9,31.03448275862069
Jan 2023,BR08,24,0,0.0
Jan 2023,BR09,27,4,14.814814814814813
Jan 2023,BR10,27,6,22.22222222222222
Feb 2023,BR01,163,78,47.85276073619632
Feb 2023,BR02,26,6,23.076923076923077
Feb 2023,BR03,27,5,18.51851851851852
Feb 2023,BR04,34,1,2.941176470588235
Feb 2023,BR05,23,4,17.391304347826086
Feb 2023,BR06,32,1,3.125
Feb 2023,BR07,53,6,11.320754716981133
Feb 2023,BR08,21,0,0.0
Feb 2023,BR09,57,6,10.526315789473683
Feb 2023,BR10,38,6,15.789473684210526
Mar 2023,BR01,185,80,43.24324324324324
Mar 2023,BR02,17,3,17.647058823529413
Mar 2023,BR03,16,7,43.75
Mar 2023,BR04,38,10,26.31578947368421
Mar 2023,BR05,18,2,11.11111111111111
Mar 2023,BR06,36,2,5.555555555555555
Mar 2023,BR07,38,0,0.0
Mar 2023,BR08,36,2,5.555555555555555
Mar 2023,BR09,30,0,0.0
Mar 2023,BR10,16,3,18.75
Apr 2023,BR01,190,87,45.78947368421053
Apr 2023,BR02,35,2,5.714285714285714
Apr 2023,BR03,20,0,0.0
Apr 2023,BR04,24,0,0.0
Apr 2023,BR05,34,0,0.0
Apr 2023,BR06,28,7,25.0
Apr 2023,BR07,34,0,0.0
Apr 2023,BR08,33,18,54.54545454545454
Apr 2023,BR09,26,6,23.076923076923077
Apr 2023,BR10,35,11,31.428571428571427
May 2023,BR01,204,96,47.05882352941176
May 2023,BR02,38,4,10.526315789473683
May 2023,BR03,44,16,36.36363636363637
May 2023,BR04,42,0,0.0
May 2023,BR05,39,8,20.51282051282051
May 2023,BR06,16,0,0.0
May 2023,BR07,21,0,0.0
May 2023,BR08,11,0,0.0
May 2023,BR09,23,0,0.0
May 2023,BR10,23,1,4.3478260869565215
Jun 2023,BR01,155,80,51.61290322580645
Jun 2023,BR02,27,4,14.814814814814813
Jun 2023,BR03,32,3,9.375
Jun 2023,BR04,32,10,31.25
Jun 2023,BR05,22,1,4.545454545454546
Jun 2023,BR06,13,6,46.15384615384615
Jun 2023,BR07,41,6,14.634146341463413
Jun 2023,BR08,64,19,29.6875
Jun 2023,BR09,19,0,0.0
Jun 2023,BR10,23,5,21.73913043478261
Jul 2023,BR01,141,70,49.645390070921984
Jul 2023,BR02,29,8,27.586206896551722
Jul 2023,BR03,29,0,0.0
Jul 2023,BR04,15,3,20.0
Jul 2023,BR05,21,0,0.0
Jul 2023,BR06,30,5,16.666666666666664
Jul 2023,BR07,28,4,14.285714285714285
Jul 2023,BR08,19,3,15.789473684210526
Jul 2023,BR09,32,13,40.625
Jul 2023,BR10,23,3,13.043478260869565
Aug 2023,BR01,153,65,42.48366013071895
Aug 2023,BR02,15,6,40.0
Aug 2023,BR03,22,8,36.36363636363637
Aug 2023,BR04,23,8,34.78260869565217
Aug 2023,BR05,29,6,20.689655172413794
Aug 2023,BR06,22,14,63.63636363636363
Aug 2023,BR07,18,7,38.88888888888889
Aug 2023,BR08,24,7,29.166666666666668
Aug 2023,BR09,17,4,23.52941176470588
Aug 2023,BR10,30,3,10.0
Sep 2023,BR01,201,95,47.2636815920398
Sep 2023,BR02,19,3,15.789473684210526
Sep 2023,BR03,18,0,0.0
Sep 2023,BR04,43,3,6.976744186046512
Sep 2023,BR05,49,2,4.081632653061225
Sep 2023,BR06,16,4,25.0
Sep 2023,BR07,30,0,0.0
Sep 2023,BR08,38,0,0.0
Sep 2023,BR09,30,6,20.0
Sep 2023,BR10,20,0,0.0
Oct 2023,BR01,161,100,62.11180124223602
Oct 2023,BR02,30,7,23.333333333333332
Oct 2023,BR03,25,8,32.0
Oct 2023,BR04,46,8,17.391304347826086
Oct 2023,BR05,13,0,0.0
Oct 2023,BR06,25,4,16.0
Oct 2023,BR07,29,10,34.48275862068966
Oct 2023,BR08,21,5,23.809523809523807
Oct 2023,BR09,36,0,0.0
Oct 2023,BR10,39,0,0.0
Nov 2023,BR01,180,78,43.333333333333336
Nov 2023,BR02,25,2,8.0
Nov 2023,BR03,24,4,16.666666666666664
Nov 2023,BR04,13,3,23.076923076923077
Nov 2023,BR05,40,8,20.0
Nov 2023,BR06,36,0,0.0
Nov 2023,BR07,34,6,17.647058823529413
Nov 2023,BR08,34,0,0.0
Nov 2023,BR09,30,7,23.333333333333332
Nov 2023,BR10,39,8,20.51282051282051
Dec 2023,BR01,168,58,34.523809523809526
Dec 2023,BR02,22,2,9.090909090909092
Dec 2023,BR03,30,1,3.3333333333333335
Dec 2023,BR04,22,3,13.636363636363635
Dec 2023,BR05,31,1,3.225806451612903
Dec 2023,BR06,29,2,6.896551724137931
Dec 2023,BR07,37,5,13.513513513513514
Dec 2023,BR08,30,10,33.33333333333333
Dec 2023,BR09,13,4,30.76923076923077
Dec 2023,BR10,35,7,20.0
Jan 2024,BR01,184,88,47.82608695652174
Jan 2024,BR02,55,12,21.818181818181817
Jan 2024,BR03,47,8,17.02127659574468
Jan 2024,BR04,17,5,29.411764705882355
Jan 2024,BR05,38,5,13.157894736842104
Jan 2024,BR06,23,5,21.73913043478261
Jan 2024,BR07,24,3,12.5
Jan 2024,BR08,41,10,24.390243902439025
Jan 2024,BR09,36,1,2.7777777777777777
Jan 2024,BR10,31,7,22.58064516129032
Feb 2024,BR01,222,93,41.891891891891895
Feb 2024,BR02,28,7,25.0
Feb 2024,BR03,35,4,11.428571428571429
Feb 2024,BR04,23,3,13.043478260869565
Feb 2024,BR05,27,7,25.925925925925924
Feb 2024,BR06,14,5,35.714285714285715
Feb 2024,BR07,44,14,31.818181818181817
Feb 2024,BR08,33,4,12.121212121212121
Feb 2024,BR09,33,7,21.21212121212121
Feb 2024,BR10,35,8,22.857142857142858
Mar 2024,BR01,196,85,43.36734693877551
Mar 2024,BR02,34,0,0.0
Mar 2024,BR03,39,0,0.0
Mar 2024,BR04,14,4,28.57142857142857
Mar 2024,BR05,30,5,16.666666666666664
Mar 2024,BR06,29,5,17.24137931034483
Mar 2024,BR07,37,0,0.0
Mar 2024,BR08,30,2,6.666666666666667
Mar 2024,BR09,11,4,36.36363636363637
Mar 2024,BR10,44,11,25.0
Apr 2024,BR01,161,84,52.17391304347826
Apr 2024,BR02,47,0,0.0
Apr 2024,BR03,29,5,17.24137931034483
Apr 2024,BR04,28,9,32.142857142857146
Apr 2024,BR05,43,4,9.30232558139535
Apr 2024,BR06,20,5,25.0
Apr 2024,BR07,33,10,30.303030303030305
Apr 2024,BR08,30,4,13.333333333333334
Apr 2024,BR09,26,8,30.76923076923077
Apr 2024,BR10,31,4,12.903225806451612
May 2024,BR01,208,110,52.88461538461539
May 2024,BR02,29,5,17.24137931034483
May 2024,BR03,31,4,12.903225806451612
May 2024,BR04,29,6,20.689655172413794
May 2024,BR05,46,7,15.217391304347828
May 2024,BR06,25,0,0.0
May 2024,BR07,40,6,15.0
May 2024,BR08,22,0,0.0
May 2024,BR09,19,8,42.10526315789473
May 2024,BR10,25,3,12.0
Jun 2024,BR01,165,60,36.36363636363637
Jun 2024,BR02,28,0,0.0
Jun 2024,BR03,31,12,38.70967741935484
Jun 2024,BR04,24,0,0.0
Jun 2024,BR05,32,8,25.0
Jun 2024,BR06,18,7,38.88888888888889
Jun 2024,BR07,16,1,6.25
Jun 2024,BR08,18,6,33.33333333333333
Jun 2024,BR09,41,5,12.195121951219512
Jun 2024,BR10,17,2,11.76470588235294
Jul 2024,BR01,190,99,52.10526315789473
Jul 2024,BR02,32,3,9.375
Jul 2024,BR03,29,3,10.344827586206897
Jul 2024,BR04,37,11,29.72972972972973
Jul 2024,BR05,45,11,24.444444444444443
Jul 2024,BR06,27,8,29.629629629629626
Jul 2024,BR07,34,4,11.76470588235294
Jul 2024,BR08,32,3,9.375
Jul 2024,BR09,31,0,0.0
Jul 2024,BR10,10,4,40.0
Aug 2024,BR01,202,83,41.089108910891085
Aug 2024,BR02,50,7,14.000000000000002
Aug 2024,BR03,20,3,15.0
Aug 2024,BR04,37,4,10.81081081081081
Aug 2024,BR05,63,12,19.047619047619047
Aug 2024,BR06,12,3,25.0
Aug 2024,BR07,19,2,10.526315789473683
Aug 2024,BR08,34,5,14.705882352941178
Aug 2024,BR09,40,4,10.0
Aug 2024,BR10,33,3,9.090909090909092
Sep 2024,BR01,136,52,38.23529411764706
Sep 2024,BR02,22,1,4.545454545454546
Sep 2024,BR03,23,10,43.47826086956522
Sep 2024,BR04,24,3,12.5
Sep 2024,BR05,31,5,16.129032258064516
Sep 2024,BR06,50,12,24.0
Sep 2024,BR07,20,2,10.0
Sep 2024,BR08,28,6,21.428571428571427
Sep 2024,BR09,30,5,16.666666666666664
Sep 2024,BR10,33,3,9.090909090909092
Oct 2024,BR01,159,73,45.911949685534594
Oct 2024,BR02,34,11,32.35294117647059
Oct 2024,BR03,20,10,50.0
Oct 2024,BR04,26,1,3.8461538461538463
Oct 2024,BR05,20,0,0.0
Oct 2024,BR06,24,3,12.5
Oct 2024,BR07,14,1,7.142857142857142
Oct 2024,BR08,45,14,31.11111111111111
Oct 2024,BR09,15,3,20.0
Oct 2024,BR10,38,2,5.263157894736842
Nov 2024,BR01,216,94,43.51851851851852
Nov 2024,BR02,11,0,0.0
Nov 2024,BR03,24,0,0.0
Nov 2024,BR04,22,3,13.636363636363635
Nov 2024,BR05,29,2,6.896551724137931
Nov 2024,BR06,15,0,0.0
Nov 2024,BR07,41,5,12.195121951219512
Nov 2024,BR08,47,7,14.893617021276595
Nov 2024,BR09,19,1,5.263157894736842
Nov 2024,BR10,26,3,11.538461538461538
Dec 2024,BR01,164,75,45.73170731707317
Dec 2024,BR02,25,3,12.0
Dec 2024,BR03,28,14,50.0
Dec 2024,BR04,33,0,0.0
Dec 2024,BR05,35,1,2.857142857142857
Dec 2024,BR06,28,7,25.0
Dec 2024,BR07,36,14,38.88888888888889
Dec 2024,BR08,17,3,17.647058823529413
Dec 2024,BR09,26,4,15.384615384615385
Dec 2024,BR10,26,2,7.6923076923076925
Jan 2025,BR01,190,100,52.63157894736842
Jan 2025,BR02,44,13,29.545454545454547
Jan 2025,BR03,38,10,26.31578947368421
Jan 2025,BR04,26,2,7.6923076923076925
Jan 2025,BR05,49,12,24.489795918367346
Jan 2025,BR06,13,0,0.0
Jan 2025,BR07,28,11,39.285714285714285
Jan 2025,BR08,34,9,26.47058823529412
Jan 2025,BR09,37,5,13.513513513513514
Jan 2025,BR10,24,0,0.0
Feb 2025,BR01,196,77,39.285714285714285
Feb 2025,BR02,24,0,0.0
Feb 2025,BR03,46,9,19.565217391304348
Feb 2025,BR04,38,6,15.789473684210526
Feb 2025,BR05,20,4,20.0
Feb 2025,BR06,35,3,8.571428571428571
Feb 2025,BR07,30,5,16.666666666666664
Feb 2025,BR08,36,5,13.88888888888889
Feb 2025,BR09,15,3,20.0
Feb 2025,BR10,24,0,0.0
Mar 2025,BR01,126,51,40.476190476190474
Mar 2025,BR02,38,3,7.894736842105263
Mar 2025,BR03,26,8,30.76923076923077
Mar 2025,BR04,25,12,48.0
Mar 2025,BR05,31,2,6.451612903225806
Mar 2025,BR06,44,12,27.27272727272727
Mar 2025,BR07,17,0,0.0
Mar 2025,BR08,28,0,0.0
Mar 2025,BR09,20,7,35.0
Mar 2025,BR10,19,0,0.0
Apr 2025,BR01,168,76,45.23809523809524
Apr 2025,BR02,44,5,11.363636363636363
Apr 2025,BR03,37,4,10.81081081081081
Apr 2025,BR04,34,3,8.823529411764707
Apr 2025,BR05,32,1,3.125
Apr 2025,BR06,25,2,8.0
Apr 2025,BR07,40,9,22.5
Apr 2025,BR08,49,7,14.285714285714285
Apr 2025,BR09,14,0,0.0
Apr 2025,BR10,42,3,7.142857142857142
May 2025,BR01,252,91,36.11111111111111
May 2025,BR02,22,0,0.0
May 2025,BR03,38,0,0.0
May 2025,BR04,23,10,43.47826086956522
May 2025,BR05,48,4,8.333333333333332
May 2025,BR06,31,1,3.225806451612903
May 2025,BR07,51,8,15.686274509803921
May 2025,BR08,40,3,7.5
May 2025,BR09,54,3,5.555555555555555
May 2025,BR10,38,8,21.052631578947366
Jun 2025,BR01,257,134,52.14007782101168
Jun 2025,BR02,28,5,17.857142857142858
Jun 2025,BR03,67,11,16.417910447761194
Jun 2025,BR04,77,13,16.883116883116884
Jun 2025,BR05,77,6,7.792207792207792
Jun 2025,BR06,51,1,1.9607843137254901
Jun 2025,BR07,40,2,5.0
Jun 2025,BR08,83,7,8.433734939759036
Jun 2025,BR09,70,5,7.142857142857142
Jun 2025,BR10,33,5,15.151515151515152
Jul 2025,BR01,463,222,47.94816414686825
Jul 2025,BR02,72,18,25.0
Jul 2025,BR03,61,0,0.0
Jul 2025,BR04,82,11,13.414634146341465
Jul 2025,BR05,95,12,12.631578947368421
Jul 2025,BR06,44,5,11.363636363636363
Jul 2025,BR07,77,13,16.883116883116884
Jul 2025,BR08,71,4,5.633802816901409
Jul 2025,BR09,56,9,16.071428571428573
Jul 2025,BR10,67,11,16.417910447761194
Aug 2025,BR01,39,23,58.97435897435898
Aug 2025,BR02,10,4,40.0
Aug 2025,BR03,6,0,0.0
Aug 2025,BR04,5,0,0.0
Aug 2025,BR05,3,0,0.0
Aug 2025,BR06,5,0,0.0
Aug 2025,BR07,9,0,0.0
Aug 2025,BR08,12,2,16.666666666666664
Aug 2025,BR09,3,0,0.0
Aug 2025,BR10,9,0,0.0
